N	K	numinstance	numrun	budget	fitness	comment
50	1	0	6	10000	0.686072	seed=numrun*10^6
50	1	0	6	100000	0.686072	seed=numrun*10^6
50	1	1	6	10000	0.686072	seed=numrun*10^6
50	1	1	6	100000	0.686072	seed=numrun*10^6
50	1	2	6	10000	0.686072	seed=numrun*10^6
50	1	2	6	100000	0.686072	seed=numrun*10^6
50	1	3	6	10000	0.686072	seed=numrun*10^6
50	1	3	6	100000	0.686072	seed=numrun*10^6
50	1	4	6	10000	0.686072	seed=numrun*10^6
50	1	4	6	100000	0.686072	seed=numrun*10^6
50	1	5	6	10000	0.686072	seed=numrun*10^6
50	1	5	6	100000	0.686072	seed=numrun*10^6
50	1	6	6	10000	0.686072	seed=numrun*10^6
50	1	6	6	100000	0.686072	seed=numrun*10^6
50	1	7	6	10000	0.686072	seed=numrun*10^6
50	1	7	6	100000	0.686072	seed=numrun*10^6
50	1	8	6	10000	0.686072	seed=numrun*10^6
50	1	8	6	100000	0.686072	seed=numrun*10^6
50	1	9	6	10000	0.686072	seed=numrun*10^6
50	1	9	6	100000	0.686072	seed=numrun*10^6
50	1	0	7	10000	0.686072	seed=numrun*10^6
50	1	0	7	100000	0.686072	seed=numrun*10^6
50	1	1	7	10000	0.686072	seed=numrun*10^6
50	1	1	7	100000	0.686072	seed=numrun*10^6
50	1	2	7	10000	0.686072	seed=numrun*10^6
50	1	2	7	100000	0.686072	seed=numrun*10^6
50	1	3	7	10000	0.686072	seed=numrun*10^6
50	1	3	7	100000	0.686072	seed=numrun*10^6
50	1	4	7	10000	0.686072	seed=numrun*10^6
50	1	4	7	100000	0.686072	seed=numrun*10^6
50	1	5	7	10000	0.686072	seed=numrun*10^6
50	1	5	7	100000	0.686072	seed=numrun*10^6
50	1	6	7	10000	0.686072	seed=numrun*10^6
50	1	6	7	100000	0.686072	seed=numrun*10^6
50	1	7	7	10000	0.686072	seed=numrun*10^6
50	1	7	7	100000	0.686072	seed=numrun*10^6
50	1	8	7	10000	0.686072	seed=numrun*10^6
50	1	8	7	100000	0.686072	seed=numrun*10^6
50	1	9	7	10000	0.686072	seed=numrun*10^6
50	1	9	7	100000	0.686072	seed=numrun*10^6
50	1	0	8	10000	0.686072	seed=numrun*10^6
50	1	0	8	100000	0.686072	seed=numrun*10^6
50	1	1	8	10000	0.686072	seed=numrun*10^6
50	1	1	8	100000	0.686072	seed=numrun*10^6
50	1	2	8	10000	0.686072	seed=numrun*10^6
50	1	2	8	100000	0.686072	seed=numrun*10^6
50	1	3	8	10000	0.686072	seed=numrun*10^6
50	1	3	8	100000	0.686072	seed=numrun*10^6
50	1	4	8	10000	0.686072	seed=numrun*10^6
50	1	4	8	100000	0.686072	seed=numrun*10^6
50	1	5	8	10000	0.686072	seed=numrun*10^6
50	1	5	8	100000	0.686072	seed=numrun*10^6
50	1	6	8	10000	0.686072	seed=numrun*10^6
50	1	6	8	100000	0.686072	seed=numrun*10^6
50	1	7	8	10000	0.686072	seed=numrun*10^6
50	1	7	8	100000	0.686072	seed=numrun*10^6
50	1	8	8	10000	0.686072	seed=numrun*10^6
50	1	8	8	100000	0.686072	seed=numrun*10^6
50	1	9	8	10000	0.686072	seed=numrun*10^6
50	1	9	8	100000	0.686072	seed=numrun*10^6
50	1	0	9	10000	0.685926	seed=numrun*10^6
50	1	0	9	100000	0.686072	seed=numrun*10^6
50	1	1	9	10000	0.685926	seed=numrun*10^6
50	1	1	9	100000	0.686072	seed=numrun*10^6
50	1	2	9	10000	0.685926	seed=numrun*10^6
50	1	2	9	100000	0.686072	seed=numrun*10^6
50	1	3	9	10000	0.685926	seed=numrun*10^6
50	1	3	9	100000	0.686072	seed=numrun*10^6
50	1	4	9	10000	0.685926	seed=numrun*10^6
50	1	4	9	100000	0.686072	seed=numrun*10^6
50	1	5	9	10000	0.685926	seed=numrun*10^6
50	1	5	9	100000	0.686072	seed=numrun*10^6
50	1	6	9	10000	0.685926	seed=numrun*10^6
50	1	6	9	100000	0.686072	seed=numrun*10^6
50	1	7	9	10000	0.685926	seed=numrun*10^6
50	1	7	9	100000	0.686072	seed=numrun*10^6
50	1	8	9	10000	0.685926	seed=numrun*10^6
50	1	8	9	100000	0.686072	seed=numrun*10^6
50	1	9	9	10000	0.685926	seed=numrun*10^6
50	1	9	9	100000	0.686072	seed=numrun*10^6
50	2	0	0	10000	0.754396	seed=numrun*10^6
50	2	0	0	100000	0.759808	seed=numrun*10^6
50	2	0	0	1000000	0.759808	seed=numrun*10^6
50	2	1	0	10000	0.754396	seed=numrun*10^6
50	2	1	0	100000	0.759808	seed=numrun*10^6
50	2	1	0	1000000	0.759808	seed=numrun*10^6
50	2	2	0	10000	0.754396	seed=numrun*10^6
50	2	2	0	100000	0.759808	seed=numrun*10^6
50	2	2	0	1000000	0.759808	seed=numrun*10^6
50	2	3	0	10000	0.754396	seed=numrun*10^6
50	2	3	0	100000	0.759808	seed=numrun*10^6
50	2	3	0	1000000	0.759808	seed=numrun*10^6
50	2	4	0	10000	0.754396	seed=numrun*10^6
50	2	4	0	100000	0.759808	seed=numrun*10^6
50	2	4	0	1000000	0.759808	seed=numrun*10^6
50	2	5	0	10000	0.754396	seed=numrun*10^6
50	2	5	0	100000	0.759808	seed=numrun*10^6
50	2	5	0	1000000	0.759808	seed=numrun*10^6
50	2	6	0	10000	0.754396	seed=numrun*10^6
50	2	6	0	100000	0.759808	seed=numrun*10^6
50	2	6	0	1000000	0.759808	seed=numrun*10^6
50	2	7	0	10000	0.754396	seed=numrun*10^6
50	2	7	0	100000	0.759808	seed=numrun*10^6
50	2	7	0	1000000	0.759808	seed=numrun*10^6
50	2	8	0	10000	0.754396	seed=numrun*10^6
50	2	8	0	100000	0.759808	seed=numrun*10^6
50	2	8	0	1000000	0.759808	seed=numrun*10^6
